Time_Index,coal,ng,hydrogen,biomass,uranium,None,elec_imp_uk,elec_imp_no,elec_imp_de,elec_imp_ge,elec_imp_be
295,10.75,8.5,0,9.5,2.55,0,51.87,70.56,67.16,54.74,88.32
296,10.75,8.5,0,9.5,2.55,0,55.54,72.52,73.31,87.88,98.28
297,10.75,8.5,0,9.5,2.55,0,52.35,73.31,72.02,105.95,107.8
298,10.75,8.5,0,9.5,2.55,0,51.3,73.01,70.98,100.64,101.64
299,10.75,8.5,0,9.5,2.55,0,49.53,72.25,69.95,94.85,99.12
300,10.75,8.5,0,9.5,2.55,0,51.68,70.56,63.67,84.93,75.99
301,10.75,8.5,0,9.5,2.55,0,50.53,67.89,67.91,76.53,74.77
302,10.75,8.5,0,9.5,2.55,0,49.48,69.94,68.61,70.24,75.22
303,10.75,8.5,0,9.5,2.55,0,47.25,70.71,70.78,73.55,82.47
304,10.75,8.5,0,9.5,2.55,0,48.02,72.84,74.22,79.85,99.3
305,10.75,8.5,0,9.5,2.55,0,52.45,74.22,75.81,85.31,111.06
306,10.75,8.5,0,9.5,2.55,0,62.84,75.81,73.82,96.9,127.25
307,10.75,8.5,0,9.5,2.55,0,51.45,73.82,73.06,96.97,121.27
308,10.75,8.5,0,9.5,2.55,0,51.74,73.06,70.93,95.91,117
309,10.75,8.5,0,9.5,2.55,0,45.54,70.93,64.3,84.94,104.12
310,10.75,8.5,0,9.5,2.55,0,33.84,67.66,63.16,76.89,113.71
311,10.75,8.5,0,9.5,2.55,0,29.42,66.15,64.02,76.51,90.7
312,10.75,8.5,0,9.5,2.55,0,25.82,66.07,62.11,68.3,99.3
313,10.75,8.5,0,9.5,2.55,0,20.69,64.1,62.93,25.68,98.82
314,10.75,8.5,0,9.5,2.55,0,16.26,64.95,64.01,34.62,87.5
315,10.75,8.5,0,9.5,2.55,0,9.95,66.06,64.67,44.7,79.12
316,10.75,8.5,0,9.5,2.55,0,9.18,66.74,65.2,41.23,74.9
317,10.75,8.5,0,9.5,2.55,0,18.32,67.34,67.31,40.7,78.64
318,10.75,8.5,0,9.5,2.55,0,30.11,69.41,71.66,40.68,71.36
319,10.75,8.5,0,9.5,2.55,0,38.9,73.36,76.74,45.1,76.3
320,10.75,8.5,0,9.5,2.55,0,43.32,76.74,81.14,53.14,78.04
321,10.75,8.5,0,9.5,2.55,0,44.22,81.14,80.63,52.34,87.38
322,10.75,8.5,0,9.5,2.55,0,44.53,80.63,81.84,54.16,93.9
323,10.75,8.5,0,9.5,2.55,0,44.56,81.84,80.39,50.47,95.5
324,10.75,8.5,0,9.5,2.55,0,48.07,80.39,77.04,55.01,87.95
325,10.75,8.5,0,9.5,2.55,0,52.19,77.04,79.15,48.91,77.04
326,10.75,8.5,0,9.5,2.55,0,55.66,79.15,82.32,25.25,79.15
327,10.75,8.5,0,9.5,2.55,0,53.06,82.32,86.62,13.42,82.32
